Temporada,Time_casa,Time_visitante,Placar_mand,Placar_visit,Result_mand,Ranking_mand,Ranking_visit,Valor_mand,Valor_visit,Taxa_gols_mand,Taxa_gols_visit,Vitorias_mand,Derrotas_mand,Empates_mand,Vitorias_visit,Derrotas_visit,Empates_visit,Saldo_gols_mand,Saldo_gols_visit,Aproveitamento_mand,Aproveitamento_visit
2013,Flamengo RJ,Coritiba FC,2,2,1,14352.0,12804.0,44.45,31.4,1.1666666666666667,1.3333333333333333,1.0,2.0,3.0,3.0,0.0,3.0,0.0,3.0,0.3333333333333333,0.6666666666666666
2013,Náutico - PE,Ponte Preta,1,3,0,8036.0,7600.0,14.1,13.78,0.6666666666666666,1.3333333333333333,1.0,4.0,1.0,2.0,4.0,0.0,-7.0,-2.0,0.2222222222222222,0.3333333333333333
2013,Athletico Paranaense,Grêmio Porto Alegre,1,1,1,11078.0,14460.0,15.85,77.65,2.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,-1.0,1.0,0.3333333333333333,0.5
2013,Portuguesa - SP,Cruzeiro,1,1,1,7840.0,13096.0,16.5,55.25,1.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,0.0,5.0,0.3888888888888889,0.5
2013,São Paulo FC,Santos FC,0,2,0,14786.0,13736.0,115.8,103.75,1.3333333333333333,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.4444444444444444,0.4444444444444444
2013,Bahia - BA,Corinthians SP,0,2,0,9282.0,15624.0,24.05,84.55,1.0,0.8333333333333334,2.0,2.0,2.0,2.0,1.0,3.0,-2.0,2.0,0.4444444444444444,0.5
2013,Internacional,Vasco da Gama,5,3,2,14360.0,15030.0,62.3,27.2,2.1666666666666665,1.3333333333333333,2.0,1.0,3.0,2.0,3.0,1.0,3.0,-5.0,0.5,0.3888888888888889
2013,Goiás,Vitória - BA,1,0,2,9896.0,9900.0,8.65,17.88,0.8333333333333334,1.6666666666666667,2.0,2.0,2.0,3.0,2.0,1.0,-4.0,4.0,0.4444444444444444,0.5555555555555556
2013,Botafogo - RJ,Fluminense RJ,1,0,2,10622.0,16208.0,36.0,68.15,1.5,1.5,4.0,1.0,1.0,3.0,3.0,0.0,4.0,2.0,0.7222222222222222,0.5
2013,Atlético Mineiro,Criciúma - SC,3,2,2,11520.0,4370.0,46.1,15.1,1.0,1.3333333333333333,2.0,3.0,1.0,2.0,4.0,0.0,-1.0,-5.0,0.3888888888888889,0.3333333333333333
2013,Fluminense RJ,Internacional,2,3,0,16208.0,14360.0,68.15,62.3,1.5714285714285714,2.2857142857142856,3.0,4.0,0.0,3.0,1.0,3.0,1.0,4.0,0.42857142857142855,0.5714285714285714
2013,Santos FC,Portuguesa - SP,4,1,2,13736.0,7840.0,103.75,16.5,1.4285714285714286,1.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,-3.0,0.5238095238095238,0.3333333333333333
2013,Ponte Preta,Bahia - BA,0,0,1,7600.0,9282.0,13.78,24.05,1.1428571428571428,0.8571428571428571,2.0,4.0,1.0,2.0,2.0,3.0,-2.0,-2.0,0.3333333333333333,0.42857142857142855
2013,Corinthians SP,Atlético Mineiro,0,1,0,15624.0,11520.0,84.55,46.1,0.7142857142857143,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,0.42857142857142855,0.47619047619047616
2013,Vitória - BA,São Paulo FC,3,2,2,9900.0,14786.0,17.88,115.8,1.8571428571428572,1.4285714285714286,4.0,2.0,1.0,2.0,3.0,2.0,5.0,2.0,0.6190476190476191,0.38095238095238093
2013,Grêmio Porto Alegre,Botafogo - RJ,2,1,2,14460.0,10622.0,77.65,36.0,1.1428571428571428,1.4285714285714286,3.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,0.5714285714285714,0.6190476190476191
2013,Coritiba FC,Athletico Paranaense,1,0,2,12804.0,11078.0,31.4,15.85,1.2857142857142858,1.7142857142857142,4.0,0.0,3.0,1.0,3.0,3.0,4.0,-2.0,0.7142857142857143,0.2857142857142857
